,Country name,LadderScore,GNIperCapita,GDPperCapita
0,Finland,7.808700085,51680.0,50810.52741
1,Denmark,7.645599842,62600.0,60551.64017
2,Switzerland,7.559899807000001,69190.0,71760.58621
3,Iceland,7.504499912000001,53590.0,55224.6848
4,Norway,7.487999916000001,66110.0,63287.60701
5,Netherlands,7.448900223,58300.0,59334.21484
6,Sweden,7.353499889,56630.0,54929.52734
7,New Zealand,7.2996001239999995,42770.0,44212.87648
8,Austria,7.294199944,55590.0,55648.87456
9,Luxembourg,7.2375001910000005,83690.0,118503.551
10,Canada,7.23210001,47580.0,48090.99217
11,Australia,7.222799778,51330.0,52397.38705
12,United Kingdom,7.164500237,45170.0,45852.68889
13,Israel,7.128600121,41960.0,42390.87755
14,Costa Rica,7.121399879,19930.0,21143.34282
15,Ireland,7.093699932000001,72470.0,95237.2413
16,Germany,7.075799942000001,55770.0,54263.64961
17,United States,6.939599991000001,64610.0,63413.51386
18,Czech Republic,6.9109001160000005,40580.0,42049.18595
19,Belgium,6.863500117999999,53180.0,52626.58164
20,United Arab Emirates,6.790800095,66660.0,66746.63494
21,Malta,6.772799968999999,38800.0,42640.1161
22,France,6.663799762999999,47450.0,46712.01011
23,Mexico,6.465000152999999,18150.0,18793.74454
25,Uruguay,6.440100192999999,21560.0,22785.19992
26,Saudi Arabia,6.406499863,47770.0,46742.24456
27,Spain,6.4008998870000005,38570.0,38343.15522
28,Guatemala,6.398900032,8690.0,8850.373033
29,Italy,6.38740015,42400.0,41890.20879
30,Singapore,6.377099991000001,86450.0,98483.342
31,Brazil,6.375599861,14550.0,14829.89042
32,Slovenia,6.363399982000001,39820.0,40124.26023
33,El Salvador,6.34829998,7970.0,8417.350529
34,Kosovo,6.325200081,11660.0,11383.40473
35,Panama,6.304800033999999,25940.0,26772.51154
37,Uzbekistan,6.257599831,7710.0,7731.144448
38,Chile,6.228499889,23980.0,25067.6916
39,Bahrain,6.227300167,40640.0,43739.56152
40,Lithuania,6.215499877999999,38060.0,39191.94871
41,Trinidad and Tobago,6.1918997760000005,24780.0,25014.37676
42,Poland,6.1862998010000005,33160.0,34406.2351
43,Colombia,6.163400172999999,14280.0,14570.23674
44,Cyprus,6.15899992,36840.0,38458.19126
45,Nicaragua,6.13710022,5410.0,5567.647462
46,Romania,6.123700142000001,31450.0,31945.74966
48,Mauritius,6.101299762999999,22370.0,20522.85994
49,Kazakhstan,6.0578999520000005,24400.0,26744.41403
50,Estonia,6.0218000410000005,37850.0,37925.1168
51,Philippines,6.006000042,9030.0,8386.724327
52,Hungary,6.000400066,32360.0,33253.88003
53,Thailand,5.9987998010000005,17710.0,18226.0057
54,Argentina,5.974699974,20220.0,20762.99168
55,Honduras,5.953199862999999,5050.0,5418.215811
56,Latvia,5.9499998089999995,32200.0,32212.39316
57,Ecuador,5.925199986,10580.0,10891.71474
58,Portugal,5.9109001160000005,33550.0,34090.73126
59,Jamaica,5.889800072000001,8930.0,9238.134165
61,Japan,5.870800018,42460.0,41732.86862
62,Peru,5.796800137000001,11510.0,11874.09814
63,Serbia,5.77820015,18780.0,19366.75554
64,Bolivia,5.747499942999999,8170.0,8272.409814
65,Pakistan,5.69329977,4710.0,4811.097563
66,Paraguay,5.6921000479999995,12670.0,13064.30933
67,Dominican Republic,5.6891999239999995,17050.0,17928.97707
68,Bosnia and Herzegovina,5.674099922000001,15600.0,15732.83572
69,Moldova,5.607500076,13510.0,12995.56041
70,Tajikistan,5.555699825,4500.0,3856.76065
71,Montenegro,5.54610014,20870.0,20542.7146
74,Belarus,5.539899826,19390.0,20231.66501
76,Greece,5.514999866,28260.0,28377.39427
78,Croatia,5.504700184,29240.0,29133.98948
79,Libya,5.488800049,11480.0,10842.25253
80,Mongolia,5.4562001229999995,11190.0,12362.34183
81,Malaysia,5.384300232,27350.0,27913.28927
82,Vietnam,5.353499889,8150.0,8646.912276
83,Indonesia,5.285600185,11740.0,12068.23975
85,Benin,5.21600008,3470.0,3504.118981
86,Maldives,5.197599888,12420.0,13438.47641
88,Azerbaijan,5.164800167,14390.0,14474.31336
90,Ghana,5.1479997630000005,5930.0,5742.293195
91,Nepal,5.137199879,4050.0,4007.012803
92,Turkey,5.131800175,27770.0,28113.73658
93,China,5.123899937,17080.0,17204.35583
95,Bulgaria,5.101500034,24150.0,24619.95089
96,Morocco,5.094799995,7190.0,7296.158065
97,Cameroon,5.084899902,3780.0,3866.079027
99,Algeria,5.005099773,11090.0,11320.01882
100,Senegal,4.980800152,3420.0,3501.515601
101,Guinea,4.949299812,2580.0,2816.273247
102,Niger,4.909599781,1230.0,1287.778851
104,Albania,4.882699966000001,13670.0,13899.93398
105,Cambodia,4.8484001160000005,4250.0,4419.83411
106,Bangladesh,4.832799911,5390.0,5136.739645
107,Gabon,4.829299927,14300.0,15100.74097
108,South Africa,4.814099789,13130.0,13355.59871
109,Iraq,4.7848000530000006,9400.0,9503.185149
110,Lebanon,4.771500111,11840.0,12114.06056
111,Burkina Faso,4.768700123,2110.0,2273.170019
113,Mali,4.729300021999999,2250.0,2347.113815
114,Nigeria,4.724100113,5000.0,5184.480233
115,Armenia,4.676799774,13100.0,13307.15661
116,Georgia,4.672599792,14070.0,14761.47707
118,Jordan,4.6333999630000005,10320.0,10351.15251
119,Mozambique,4.623600006,1250.0,1296.921395
120,Kenya,4.583000183,4500.0,4576.200469
121,Namibia,4.571100235,9180.0,9294.624331
122,Ukraine,4.56069994,13260.0,13056.70207
123,Liberia,4.557899952,1300.0,1467.811781
125,Uganda,4.43200016,2260.0,2293.480728
126,Chad,4.422699928,1470.0,1601.761727
127,Tunisia,4.392199993,10550.0,10818.81689
128,Mauritania,4.374599934,5320.0,5388.078903
129,Sri Lanka,4.327000141,12860.0,13219.68883
132,Myanmar,4.308000088,4980.0,5121.917559
133,Comoros,4.288599968,3130.0,3151.957145
134,Togo,4.187200069,2230.0,2222.670302
135,Ethiopia,4.186200142,2410.0,2421.909863
136,Madagascar,4.165599823,1500.0,1543.585304
138,Sierra Leone,3.926399946,1690.0,1726.461867
139,Burundi,3.775300026,770.0,770.8760716
140,Zambia,3.759399891,3360.0,3456.322534
141,Haiti,3.720799923,3100.0,3094.041454
142,Lesotho,3.6528000830000003,2730.0,2443.168125
143,India,3.573299885,6440.0,6501.526071
144,Malawi,3.538000107,1550.0,1591.012708
146,Botswana,3.4788999560000002,15490.0,15452.72611
147,Tanzania,3.4762001039999997,2760.0,2780.055548
148,Central African Republic,3.475899935,1020.0,987.276727
149,Rwanda,3.312299967,2160.0,2213.003654
150,Zimbabwe,3.2992000580000003,3420.0,3536.034132
152,Afghanistan,2.566900015,2100.0,2077.874554
